timestamp_millis,cpu_load,process_cpu_load,process_cpu_time_nanosecs,total_memory_os_bytes,free_memory_os_bytes,jvm_total_memory_bytes,jvm_free_memory_bytes
1721590647339,0.0,0.0,43690000000,8058507264,5406588928,121634816,61989536
1721590647850,0.5472972972972974,0.8378378378378378,44950000000,8058507264,5391622144,121634816,35635192
1721590647978,0.625,1.0,45290000000,8058507264,5385973760,121634816,32488472
1721590648099,0.5714285714285714,1.0,45630000000,8058507264,5379780608,121634816,28227080
1721590648226,0.5555555555555556,0.9428571428571428,45970000000,8058507264,5376684032,121634816,74583384
1721590648345,0.5333333333333333,0.8666666666666666,46230000000,8058507264,5359742976,121634816,72148400
1721590648477,0.55,0.625,46480000000,8058507264,5359484928,121634816,69585352
1721590648595,0.4473684210526316,0.6052631578947368,46710000000,8058507264,5358710784,121634816,63581376
1721590648714,0.30000000000000004,0.4,46860000000,8058507264,5358452736,121634816,59099192
1721590648832,0.368421052631579,0.4473684210526315,47040000000,8058507264,5357678592,121634816,48775688
1721590648950,0.15384615384615385,0.33333333333333337,47150000000,8058507264,5356646400,121634816,39525304
1721590649080,0.3170731707317073,0.4634146341463415,47360000000,8058507264,5355614208,121634816,33707032
1721590649197,0.28205128205128205,0.4615384615384615,47530000000,8058507264,5354840064,121634816,31595008
1721590649318,0.26666666666666666,0.7666666666666666,47760000000,8058507264,5354065920,121634816,26634136
1721590649443,0.2857142857142857,1.0,48090000000,8058507264,5353291776,121634816,24713808
