timestamp_millis,cpu_load,process_cpu_load,process_cpu_time_nanosecs,total_memory_os_bytes,free_memory_os_bytes,jvm_total_memory_bytes,jvm_free_memory_bytes
1721591697731,0.0,0.0,44580000000,8058507264,5422280704,110100480,45661632
1721591698142,0.6240601503759399,0.7894736842105263,45640000000,8058507264,5419184128,110100480,21548000
1721591698262,0.7741935483870968,1.0,45960000000,8058507264,5415829504,110100480,61539624
1721591698384,0.39999999999999997,0.6153846153846154,46200000000,8058507264,5415313408,110100480,56971736
1721591698501,0.2631578947368421,0.3157894736842105,46330000000,8058507264,5414023168,110100480,49904704
1721591698614,0.33333333333333337,0.3611111111111111,46460000000,8058507264,5400760320,110100480,45582400
1721591698734,0.4,0.9666666666666666,46740000000,8058507264,5399986176,110100480,39290944
1721591698850,0.28125,0.3125,46850000000,8058507264,5398953984,110100480,35467176
1721591698965,0.42105263157894735,0.47368421052631576,47030000000,8058507264,5398437888,110100480,31046632
1721591699082,0.2702702702702703,0.39473684210526316,47170000000,8058507264,5397147648,110100480,59055904
1721591699202,0.28205128205128205,0.4473684210526315,47350000000,8058507264,5396115456,110100480,52188000
1721591699326,0.45714285714285713,0.7428571428571429,47610000000,8058507264,5395857408,110100480,49660944
1721591699443,0.34285714285714286,0.6,47810000000,8058507264,5395341312,110100480,45572376
1721591699559,0.5555555555555556,0.7222222222222223,48080000000,8058507264,5394825216,110100480,43646960
1721591699674,0.6785714285714285,1.0,48420000000,8058507264,5393793024,110100480,41083320
