timestamp_millis,cpu_load,process_cpu_load,process_cpu_time_nanosecs,total_memory_os_bytes,free_memory_os_bytes,jvm_total_memory_bytes,jvm_free_memory_bytes
1721593588999,0.0,0.0,43280000000,8058507264,5436030976,105906176,24283304
1721593589518,0.4444444444444444,0.5802469135802469,44230000000,8058507264,5432418304,105906176,38349648
1721593589643,0.6176470588235294,1.0,44580000000,8058507264,5431386112,105906176,34696136
1721593589769,0.641025641025641,0.8717948717948718,44920000000,8058507264,5429837824,105906176,31128280
1721593589888,0.7209302325581395,0.7441860465116279,45250000000,8058507264,5428289536,105906176,25263384
1721593590003,0.6470588235294118,0.8823529411764707,45550000000,8058507264,5423321088,105906176,21981200
1721593590125,0.4375,0.71875,45760000000,8058507264,5423063040,105906176,20357672
1721593590253,0.45,0.525,45990000000,8058507264,5422288896,105906176,51621432
1721593590372,0.5384615384615385,0.6666666666666666,46240000000,8058507264,5421772800,105906176,45444696
1721593590491,0.325,0.35000000000000003,46390000000,8058507264,5420482560,105906176,27637088
1721593590610,0.3076923076923077,0.42500000000000004,46560000000,8058507264,5420224512,105906176,22997376
1721593590728,0.07142857142857142,0.0975609756097561,46600000000,8058507264,5419966464,105906176,20458080
1721593590853,0.32432432432432434,0.5675675675675675,46800000000,8058507264,5419708416,127926272,78284504
1721593590972,0.5641025641025641,0.7179487179487178,47090000000,8058507264,5418934272,127926272,76159360
