timestamp_millis,cpu_load,process_cpu_load,process_cpu_time_nanosecs,total_memory_os_bytes,free_memory_os_bytes,jvm_total_memory_bytes,jvm_free_memory_bytes
1721593764790,0.0,0.0,43230000000,8058507264,5386137600,121634816,45458088
1721593765136,0.6115702479338843,0.7107438016528925,44090000000,8058507264,5380202496,121634816,24859136
1721593765266,0.7058823529411765,1.0,44470000000,8058507264,5378138112,146800640,97222544
1721593765399,0.6060606060606061,1.0,44810000000,8058507264,5368975360,146800640,92571288
1721593765514,0.5128205128205128,0.6923076923076923,45070000000,8058507264,5367169024,146800640,87392712
1721593765633,0.23076923076923078,0.24390243902439024,45180000000,8058507264,5350199296,146800640,83591560
1721593765760,0.2222222222222222,0.5294117647058824,45360000000,8058507264,5349453824,146800640,80448352
1721593765899,0.28888888888888886,0.3555555555555555,45510000000,8058507264,5343195136,146800640,74393608
1721593766015,0.23684210526315788,0.368421052631579,45660000000,8058507264,5342162944,146800640,69963520
1721593766130,0.33333333333333337,0.41025641025641024,45800000000,8058507264,5341159424,146800640,60246832
1721593766247,0.175,0.3,45940000000,8058507264,5339869184,146800640,50040512
1721593766368,0.35,0.45,46120000000,8058507264,5338320896,146800640,42548648
1721593766484,0.21212121212121213,0.5151515151515151,46290000000,8058507264,5337804800,146800640,39706464
1721593766601,0.46875,0.75,46530000000,8058507264,5337030656,146800640,36802936
