timestamp_millis,cpu_load,process_cpu_load,process_cpu_time_nanosecs,total_memory_os_bytes,free_memory_os_bytes,jvm_total_memory_bytes,jvm_free_memory_bytes
1721589878938,0.0,0.0,50190000000,8058507264,5072588800,131072000,38416664
1721589879488,0.48936170212765956,0.9142857142857143,51480000000,8058507264,5070266368,131072000,72702584
1721589879610,0.5,1.0,51840000000,8058507264,5070008320,131072000,69503544
1721589879734,0.38095238095238093,1.0,52180000000,8058507264,5070008320,131072000,65002528
1721589879861,0.5833333333333333,1.0,52550000000,8058507264,5068718080,131072000,60078200
1721589879979,0.2222222222222222,0.48148148148148145,52680000000,8058507264,5058007040,131072000,58788360
1721589880094,0.3076923076923077,0.25,52780000000,8058507264,5056716800,131072000,55071960
1721589880211,0.29032258064516125,0.7333333333333334,53000000000,8058507264,5056716800,131072000,50401472
1721589880334,0.3076923076923077,0.48717948717948717,53180000000,8058507264,5056200704,131072000,45878576
1721589880455,0.6153846153846153,0.7073170731707317,53470000000,8058507264,5055684608,131072000,43740792
1721589880573,0.1794871794871795,0.2702702702702703,53580000000,8058507264,5055168512,131072000,33055736
1721589880688,0.25,0.33333333333333337,53700000000,8058507264,5054910464,131072000,81799296
1721589880802,0.36111111111111116,0.5555555555555556,53900000000,8058507264,5054394368,131072000,76026984
1721589880929,0.25641025641025644,0.5128205128205128,54100000000,8058507264,5054136320,131072000,73659472
1721589881044,0.41025641025641024,0.5384615384615384,54300000000,8058507264,5053878272,131072000,69560192
1721589881158,0.5555555555555556,0.7222222222222222,54560000000,8058507264,5053620224,131072000,67119216
