timestamp_millis,cpu_load,process_cpu_load,process_cpu_time_nanosecs,total_memory_os_bytes,free_memory_os_bytes,jvm_total_memory_bytes,jvm_free_memory_bytes
1721591595633,0.0,0.0,42910000000,8058507264,5460107264,125829120,31890320
1721591596013,0.5,0.6015625,43670000000,8058507264,5454688256,125829120,61952368
1721591596146,0.64,1.0,44040000000,8058507264,5448495104,125829120,58250344
1721591596267,0.6666666666666666,0.7804878048780488,44370000000,8058507264,5442560000,125829120,53036512
1721591596384,0.6666666666666666,0.7948717948717948,44670000000,8058507264,5439234048,125829120,46716088
1721591596501,0.6333333333333333,1.0,44970000000,8058507264,5424394240,125829120,43941192
1721591596622,0.6666666666666667,0.9444444444444444,45320000000,8058507264,5418975232,125829120,41286624
1721591596741,0.4634146341463415,0.41463414634146345,45490000000,8058507264,5417455616,125829120,32031800
1721591596860,0.4857142857142857,0.5714285714285714,45680000000,8058507264,5415907328,125829120,26300656
1721591596973,0.21621621621621623,0.3783783783783784,45820000000,8058507264,5415133184,125829120,65139496
1721591597088,0.34285714285714286,0.5714285714285714,46030000000,8058507264,5414359040,125829120,58574120
1721591597206,0.13953488372093023,0.20930232558139533,46110000000,8058507264,5414100992,125829120,56585168
1721591597320,0.39473684210526316,0.4473684210526315,46280000000,8058507264,5415346176,125829120,51199104
