timestamp_millis,cpu_load,process_cpu_load,process_cpu_time_nanosecs,total_memory_os_bytes,free_memory_os_bytes,jvm_total_memory_bytes,jvm_free_memory_bytes
1721594716552,0.0,0.0,41780000000,8058507264,5427875840,132120576,54246696
1721594717018,0.4666666666666667,0.674074074074074,42700000000,8058507264,5419388928,132120576,29080872
1721594717141,0.4117647058823529,1.0,43030000000,8058507264,5418643456,132120576,26983720
1721594717270,0.21951219512195125,0.4634146341463415,43220000000,8058507264,5417095168,132120576,85410496
1721594717391,0.29268292682926833,0.30952380952380953,43350000000,8058507264,5416837120,132120576,79696824
1721594717509,0.21621621621621623,0.25,43430000000,8058507264,5405093888,132120576,76551096
1721594717628,0.34285714285714286,0.5142857142857143,43620000000,8058507264,5404835840,132120576,73769344
1721594717744,0.2647058823529412,0.3823529411764706,43750000000,8058507264,5404319744,132120576,67477920
1721594717862,0.3076923076923077,0.41025641025641024,43900000000,8058507264,5403803648,132120576,63283616
1721594717983,0.4473684210526316,0.48717948717948717,44100000000,8058507264,5403029504,132120576,54099968
1721594718101,0.175,0.3076923076923077,44210000000,8058507264,5402255360,132120576,44409096
1721594718221,0.225,0.375,44360000000,8058507264,5400965120,132120576,37498024
1721594718342,0.55,0.7,44650000000,8058507264,5400707072,132120576,35225776
1721594718459,0.36111111111111116,0.5555555555555556,44850000000,8058507264,5399674880,132120576,30442384
1721594718588,0.2916666666666667,1.0,45160000000,8058507264,5399158784,132120576,28601904
1721594718705,0.5555555555555556,0.8055555555555556,45450000000,8058507264,5398384640,132120576,26750064
