timestamp_millis,cpu_load,process_cpu_load,process_cpu_time_nanosecs,total_memory_os_bytes,free_memory_os_bytes,jvm_total_memory_bytes,jvm_free_memory_bytes
1721590972442,0.0,0.0,46580000000,8058507264,5438349312,127926272,58438184
1721590972715,0.18604651162790697,0.3908045977011494,46930000000,8058507264,5434765312,127926272,46510024
1721590972833,0.2972972972972973,0.5,47110000000,8058507264,5434507264,127926272,42710040
1721590972956,0.7575757575757576,0.9393939393939394,47410000000,8058507264,5428248576,127926272,38121656
1721590973075,0.8500000000000001,0.8,47740000000,8058507264,5427216384,127926272,33666400
1721590973207,0.5,1.0,48130000000,8058507264,5424377856,127926272,29731560
1721590973326,0.7105263157894737,0.868421052631579,48460000000,8058507264,5421797376,127926272,25874016
1721590973442,0.6571428571428571,0.8857142857142857,48780000000,8058507264,5411991552,127926272,79269680
1721590973555,0.6956521739130435,1.0,49080000000,8058507264,5411475456,127926272,76793672
1721590973675,0.7027027027027026,0.7894736842105263,49380000000,8058507264,5402054656,127926272,73766104
1721590973793,0.6842105263157895,0.8918918918918919,49710000000,8058507264,5400506368,127926272,70446384
1721590973919,0.4827586206896552,1.0,50030000000,8058507264,5399990272,127926272,66875528
1721590974042,0.30952380952380953,0.3170731707317073,50170000000,8058507264,5398700032,127926272,60006016
1721590974166,0.5227272727272727,0.5681818181818181,50410000000,8058507264,5397409792,127926272,52195456
1721590974294,0.25,0.375,50560000000,8058507264,5395861504,127926272,36847912
1721590974412,0.46153846153846156,0.5641025641025641,50780000000,8058507264,5394829312,127926272,32083760
1721590974528,0.09302325581395349,0.09302325581395349,50830000000,8058507264,5394055168,127926272,30176512
1721590974649,0.3076923076923077,0.4358974358974359,51000000000,8058507264,5401538560,127926272,26463368
1721590974763,0.5428571428571428,0.7428571428571429,51260000000,8058507264,5401280512,127926272,78626496
