timestamp_millis,cpu_load,process_cpu_load,process_cpu_time_nanosecs,total_memory_os_bytes,free_memory_os_bytes,jvm_total_memory_bytes,jvm_free_memory_bytes
1721590545413,0.0,0.0,44260000000,8058507264,5417422848,117440512,59214672
1721590545769,0.5775862068965517,0.75,45130000000,8058507264,5412261888,117440512,34891688
1721590545887,0.611111111111111,1.0,45450000000,8058507264,5411487744,117440512,32624160
1721590546014,0.475,0.675,45710000000,8058507264,5409423360,117440512,26698608
1721590546132,0.6097560975609756,0.6341463414634146,45980000000,8058507264,5401874432,117440512,70846272
1721590546247,0.6216216216216217,0.7027027027027026,46240000000,8058507264,5400068096,117440512,67205672
1721590546363,0.35135135135135137,0.5405405405405406,46430000000,8058507264,5399552000,117440512,59147616
1721590546492,0.6595744680851063,0.553191489361702,46680000000,8058507264,5398777856,117440512,50592736
1721590546629,0.37209302325581395,0.41860465116279066,46870000000,8058507264,5396971520,117440512,33099584
1721590546746,0.42105263157894735,0.5526315789473684,47090000000,8058507264,5395968000,117440512,29717936
1721590546860,0.4,0.5,47290000000,8058507264,5395193856,117440512,24891864
1721590547000,0.39285714285714285,1.0,47640000000,8058507264,5394190336,117440512,70163624
