timestamp_millis,cpu_load,process_cpu_load,process_cpu_time_nanosecs,total_memory_os_bytes,free_memory_os_bytes,jvm_total_memory_bytes,jvm_free_memory_bytes
1721594594852,0.0,0.0,41130000000,8058507264,5441511424,131072000,79364040
1721594595194,0.4036697247706422,0.6238532110091743,41800000000,8058507264,5437669376,131072000,55433672
1721594595316,0.7142857142857142,1.0,42120000000,8058507264,5427376128,131072000,50629440
1721594595434,0.638888888888889,0.888888888888889,42440000000,8058507264,5425311744,131072000,45577208
1721594595553,0.641025641025641,0.8205128205128205,42760000000,8058507264,5424021504,131072000,40139576
1721594595671,0.6944444444444445,0.8611111111111112,43060000000,8058507264,5415182336,131072000,35713632
1721594595789,0.7073170731707318,0.8048780487804879,43400000000,8058507264,5412601856,131072000,30470760
1721594595919,0.7222222222222223,0.9166666666666667,43730000000,8058507264,5409017856,131072000,82883224
1721594596042,0.725,0.825,44060000000,8058507264,5405147136,131072000,78294080
1721594596158,0.2857142857142857,0.4166666666666667,44200000000,8058507264,5404372992,131072000,61715968
1721594596277,0.5263157894736842,0.6756756756756757,44460000000,8058507264,5403082752,131072000,53996312
1721594596402,0.34090909090909094,0.4318181818181818,44650000000,8058507264,5402566656,131072000,49270280
1721594596520,0.75,0.8500000000000001,44980000000,8058507264,5402050560,131072000,46777536
