timestamp_millis,cpu_load,process_cpu_load,process_cpu_time_nanosecs,total_memory_os_bytes,free_memory_os_bytes,jvm_total_memory_bytes,jvm_free_memory_bytes
1721593983114,0.0,0.0,44890000000,8058507264,5412552704,123731968,51301392
1721593983609,0.5800000000000001,0.7702702702702703,46030000000,8058507264,5405585408,123731968,75356824
1721593983728,0.5853658536585366,0.6097560975609757,46280000000,8058507264,5403807744,123731968,67827096
1721593983874,0.28,0.30000000000000004,46430000000,8058507264,5390774272,123731968,64690216
1721593983993,0.25925925925925924,0.9259259259259259,46680000000,8058507264,5390258176,123731968,62593000
1721593984108,0.5,1.0,46980000000,8058507264,5389225984,123731968,54907360
1721593984231,0.4473684210526315,0.47368421052631576,47150000000,8058507264,5388709888,123731968,52452976
1721593984354,0.2195121951219512,0.3414634146341463,47310000000,8058507264,5387448320,123731968,43900552
1721593984469,0.2,0.37142857142857144,47430000000,8058507264,5385900032,123731968,30268896
1721593984587,0.4473684210526316,0.5526315789473684,47640000000,8058507264,5384351744,123731968,24936136
1721593984704,0.21739130434782608,1.0,47920000000,8058507264,5383835648,123731968,75366288
1721593984819,0.625,1.0,48250000000,8058507264,5383061504,123731968,71959272
1721593984932,0.5675675675675675,0.6756756756756757,48500000000,8058507264,5382545408,123731968,69333312
